uniprot_id,total_pockets,high_druggability,medium_druggability,low_druggability,best_score,best_pocket_id
P0C0G0,11,0,0,11,0.337,2
A0R561,10,0,0,10,0.334,2
P0AC11,11,0,0,11,0.322,11
O08498,15,0,0,15,0.318,8
Q06893,27,0,0,27,0.318,27
P13250,18,0,0,18,0.31,4
P0A3Y6,21,0,0,21,0.307,6
P0AE05,18,0,0,18,0.304,12
P0AE04,18,0,0,18,0.304,12
P9WQB7,11,0,0,11,0.288,2
P9WGY9,34,0,0,34,0.287,34
P0DTV9,17,0,0,17,0.286,1
Q54441,7,0,0,7,0.281,1
P12055,21,0,0,21,0.27,19
P0CF06,4,0,0,4,0.265,1
P00553,23,0,0,23,0.261,23
Q9XBN7,23,0,0,23,0.254,7
A0A0F7KYQ8,11,0,0,11,0.253,2
P29806,17,0,0,17,0.249,13
P26826,10,0,0,10,0.24,1
P14511,21,0,0,21,0.239,2
P29808,18,0,0,18,0.229,8
P02930,30,0,0,30,0.229,29
P25910,10,0,0,10,0.228,1
P00552,10,0,0,10,0.214,10
P20074,16,0,0,16,0.205,2
Q9RBW7,12,0,0,12,0.2,5
P9WG47,24,0,0,24,0.174,24
Q51161,20,0,0,20,0.172,7
P11504,13,0,0,13,0.155,4
A0A649V088,13,0,0,13,0.147,11
P9WJG3,9,0,0,9,0.126,9
Q9R381,14,0,0,14,0.1,14
P0AG06,18,0,0,18,0.093,2
P04190,18,0,0,18,0.081,9
P0AG05,17,0,0,17,0.076,10
P08881,18,0,0,18,0.058,14
P10425,15,0,0,15,0.027,15
P00551,14,0,0,14,0.026,9
